City,Latitude,Longitude,Time,Temperature_2m,Relative_Humidity_2m,Wind_Speed_10m,Surface_Pressure
Lagos,6.45407,3.39467,2026-06-01T00:00,27.3,87,12.2,1011.1
Lagos,6.45407,3.39467,2026-06-01T01:00,26.0,89,11.9,1010.2
Lagos,6.45407,3.39467,2026-06-01T02:00,26.0,89,9.2,1010.0
Lagos,6.45407,3.39467,2026-06-01T03:00,25.1,94,8.4,1009.9
Lagos,6.45407,3.39467,2026-06-01T04:00,25.5,94,5.4,1009.4
Lagos,6.45407,3.39467,2026-06-01T05:00,25.9,91,0.4,1009.9
Lagos,6.45407,3.39467,2026-06-01T06:00,26.3,91,3.0,1010.0
Lagos,6.45407,3.39467,2026-06-01T07:00,27.2,88,4.2,1010.9
Lagos,6.45407,3.39467,2026-06-01T08:00,28.1,85,6.7,1011.7
Lagos,6.45407,3.39467,2026-06-01T09:00,26.7,86,13.7,1012.7
Lagos,6.45407,3.39467,2026-06-01T10:00,25.6,91,6.9,1012.8
Lagos,6.45407,3.39467,2026-06-01T11:00,27.5,81,8.9,1012.3
Lagos,6.45407,3.39467,2026-06-01T12:00,29.5,76,5.0,1011.3
Lagos,6.45407,3.39467,2026-06-01T13:00,27.2,86,11.1,1010.9
Lagos,6.45407,3.39467,2026-06-01T14:00,27.6,85,5.8,1009.2
Lagos,6.45407,3.39467,2026-06-01T15:00,29.2,77,7.8,1009.0
Lagos,6.45407,3.39467,2026-06-01T16:00,28.8,76,9.8,1008.8
Lagos,6.45407,3.39467,2026-06-01T17:00,28.8,77,11.7,1009.0
Lagos,6.45407,3.39467,2026-06-01T18:00,28.1,82,11.2,1009.9
Lagos,6.45407,3.39467,2026-06-01T19:00,27.8,85,8.8,1010.5
Lagos,6.45407,3.39467,2026-06-01T20:00,27.9,85,7.6,1011.4
Lagos,6.45407,3.39467,2026-06-01T21:00,27.9,84,7.7,1011.9
Lagos,6.45407,3.39467,2026-06-01T22:00,27.6,87,5.4,1012.3
Lagos,6.45407,3.39467,2026-06-01T23:00,27.5,88,6.2,1012.2
Lagos,6.45407,3.39467,2026-06-02T00:00,27.3,89,5.4,1011.8
Lagos,6.45407,3.39467,2026-06-02T01:00,26.6,93,5.5,1011.3
Lagos,6.45407,3.39467,2026-06-02T02:00,26.2,94,5.9,1010.8
Lagos,6.45407,3.39467,2026-06-02T03:00,26.5,94,3.8,1010.4
Lagos,6.45407,3.39467,2026-06-02T04:00,26.4,94,2.2,1010.6
Lagos,6.45407,3.39467,2026-06-02T05:00,25.3,94,5.6,1011.3
Lagos,6.45407,3.39467,2026-06-02T06:00,25.9,91,2.2,1011.9
Lagos,6.45407,3.39467,2026-06-02T07:00,26.6,87,2.0,1012.6
Lagos,6.45407,3.39467,2026-06-02T08:00,27.6,82,2.6,1013.4
Lagos,6.45407,3.39467,2026-06-02T09:00,28.5,79,2.6,1013.5
Lagos,6.45407,3.39467,2026-06-02T10:00,29.2,76,5.2,1013.2
Lagos,6.45407,3.39467,2026-06-02T11:00,29.0,78,7.7,1012.8
Lagos,6.45407,3.39467,2026-06-02T12:00,29.4,77,10.1,1012.2
Lagos,6.45407,3.39467,2026-06-02T13:00,29.3,77,9.9,1011.4
Lagos,6.45407,3.39467,2026-06-02T14:00,29.1,77,14.2,1010.4
Lagos,6.45407,3.39467,2026-06-02T15:00,29.0,77,12.7,1010.2
Lagos,6.45407,3.39467,2026-06-02T16:00,28.5,78,14.6,1009.7
Lagos,6.45407,3.39467,2026-06-02T17:00,28.6,77,14.1,1010.0
Lagos,6.45407,3.39467,2026-06-02T18:00,28.0,81,14.4,1010.5
Lagos,6.45407,3.39467,2026-06-02T19:00,27.9,82,12.7,1011.6
Lagos,6.45407,3.39467,2026-06-02T20:00,27.8,83,11.9,1012.4
Lagos,6.45407,3.39467,2026-06-02T21:00,27.5,83,7.3,1013.8
Lagos,6.45407,3.39467,2026-06-02T22:00,27.5,86,8.4,1013.7
Lagos,6.45407,3.39467,2026-06-02T23:00,27.3,87,8.8,1013.3
Lagos,6.45407,3.39467,2026-06-03T00:00,27.3,87,7.6,1012.6
Lagos,6.45407,3.39467,2026-06-03T01:00,27.0,90,7.6,1012.3
Cairo,30.06263,31.24967,2026-06-01T00:00,22.2,59,4.7,1011.3
Cairo,30.06263,31.24967,2026-06-01T01:00,21.7,59,4.4,1010.8
Cairo,30.06263,31.24967,2026-06-01T02:00,21.3,60,4.3,1010.5
Cairo,30.06263,31.24967,2026-06-01T03:00,20.9,58,4.0,1010.1
Cairo,30.06263,31.24967,2026-06-01T04:00,21.0,59,4.5,1011.0
Cairo,30.06263,31.24967,2026-06-01T05:00,22.3,55,5.4,1011.7
Cairo,30.06263,31.24967,2026-06-01T06:00,25.5,44,6.5,1011.8
Cairo,30.06263,31.24967,2026-06-01T07:00,28.0,32,7.2,1012.1
Cairo,30.06263,31.24967,2026-06-01T08:00,30.2,27,7.6,1012.0
Cairo,30.06263,31.24967,2026-06-01T09:00,31.7,25,7.6,1011.4
Cairo,30.06263,31.24967,2026-06-01T10:00,33.2,24,7.6,1011.5
Cairo,30.06263,31.24967,2026-06-01T11:00,34.3,23,7.8,1011.1
Cairo,30.06263,31.24967,2026-06-01T12:00,34.7,22,8.9,1011.0
Cairo,30.06263,31.24967,2026-06-01T13:00,34.9,23,9.4,1010.3
Cairo,30.06263,31.24967,2026-06-01T14:00,34.8,22,10.2,1010.0
Cairo,30.06263,31.24967,2026-06-01T15:00,34.0,24,9.2,1010.0
Cairo,30.06263,31.24967,2026-06-01T16:00,33.1,25,8.7,1010.1
Cairo,30.06263,31.24967,2026-06-01T17:00,32.0,27,5.8,1010.4
Cairo,30.06263,31.24967,2026-06-01T18:00,29.3,42,12.6,1011.4
Cairo,30.06263,31.24967,2026-06-01T19:00,28.4,45,10.9,1011.9
Cairo,30.06263,31.24967,2026-06-01T20:00,27.2,47,10.6,1012.5
Cairo,30.06263,31.24967,2026-06-01T21:00,26.1,47,8.4,1012.8
Cairo,30.06263,31.24967,2026-06-01T22:00,25.2,46,7.4,1012.7
Cairo,30.06263,31.24967,2026-06-01T23:00,24.2,50,6.5,1012.5
Cairo,30.06263,31.24967,2026-06-02T00:00,23.4,56,5.6,1012.2
Cairo,30.06263,31.24967,2026-06-02T01:00,22.8,61,4.7,1012.0
Cairo,30.06263,31.24967,2026-06-02T02:00,22.3,65,2.9,1012.2
Cairo,30.06263,31.24967,2026-06-02T03:00,22.0,68,2.6,1012.4
Cairo,30.06263,31.24967,2026-06-02T04:00,22.2,67,3.1,1012.9
Cairo,30.06263,31.24967,2026-06-02T05:00,23.7,61,3.1,1013.2
Cairo,30.06263,31.24967,2026-06-02T06:00,26.2,49,4.1,1013.5
Cairo,30.06263,31.24967,2026-06-02T07:00,29.2,37,3.0,1013.3
Cairo,30.06263,31.24967,2026-06-02T08:00,32.0,29,3.6,1013.0
Cairo,30.06263,31.24967,2026-06-02T09:00,33.9,24,4.7,1012.6
Cairo,30.06263,31.24967,2026-06-02T10:00,35.1,22,5.8,1012.3
Cairo,30.06263,31.24967,2026-06-02T11:00,36.0,21,4.4,1011.8
Cairo,30.06263,31.24967,2026-06-02T12:00,36.6,20,5.7,1010.9
Cairo,30.06263,31.24967,2026-06-02T13:00,36.8,20,6.9,1010.7
Cairo,30.06263,31.24967,2026-06-02T14:00,36.7,19,7.4,1010.1
Cairo,30.06263,31.24967,2026-06-02T15:00,36.2,19,5.9,1009.9
Cairo,30.06263,31.24967,2026-06-02T16:00,35.3,21,7.9,1010.0
Cairo,30.06263,31.24967,2026-06-02T17:00,33.9,22,6.5,1010.3
Cairo,30.06263,31.24967,2026-06-02T18:00,31.4,34,15.5,1011.2
Cairo,30.06263,31.24967,2026-06-02T19:00,29.9,36,13.8,1012.1
Cairo,30.06263,31.24967,2026-06-02T20:00,28.4,35,10.7,1012.4
Cairo,30.06263,31.24967,2026-06-02T21:00,27.7,34,7.7,1012.2
Cairo,30.06263,31.24967,2026-06-02T22:00,26.8,33,6.6,1011.9
Cairo,30.06263,31.24967,2026-06-02T23:00,26.1,36,6.3,1011.3
Cairo,30.06263,31.24967,2026-06-03T00:00,25.8,39,5.4,1010.9
Cairo,30.06263,31.24967,2026-06-03T01:00,25.7,40,3.9,1010.6
Kinshasa,-4.32758,15.31357,2026-06-01T00:00,25.8,85,4.2,979.1
Kinshasa,-4.32758,15.31357,2026-06-01T01:00,25.0,87,1.4,978.7
Kinshasa,-4.32758,15.31357,2026-06-01T02:00,24.7,89,0.4,978.6
Kinshasa,-4.32758,15.31357,2026-06-01T03:00,24.5,91,0.6,978.6
Kinshasa,-4.32758,15.31357,2026-06-01T04:00,24.2,92,1.2,978.9
Kinshasa,-4.32758,15.31357,2026-06-01T05:00,24.0,94,1.3,979.5
Kinshasa,-4.32758,15.31357,2026-06-01T06:00,24.1,92,2.7,980.4
Kinshasa,-4.32758,15.31357,2026-06-01T07:00,25.1,86,2.3,981.0
Kinshasa,-4.32758,15.31357,2026-06-01T08:00,26.4,80,1.4,981.5
Kinshasa,-4.32758,15.31357,2026-06-01T09:00,27.8,75,0.6,981.5
Kinshasa,-4.32758,15.31357,2026-06-01T10:00,29.1,69,0.8,981.1
Kinshasa,-4.32758,15.31357,2026-06-01T11:00,30.5,62,0.7,980.3
Kinshasa,-4.32758,15.31357,2026-06-01T12:00,31.5,55,1.6,979.2
Kinshasa,-4.32758,15.31357,2026-06-01T13:00,32.1,52,3.4,978.6
Kinshasa,-4.32758,15.31357,2026-06-01T14:00,32.2,51,2.9,977.9
Kinshasa,-4.32758,15.31357,2026-06-01T15:00,32.2,50,3.6,977.7
Kinshasa,-4.32758,15.31357,2026-06-01T16:00,31.4,55,5.2,977.9
Kinshasa,-4.32758,15.31357,2026-06-01T17:00,29.6,67,2.7,978.1
Kinshasa,-4.32758,15.31357,2026-06-01T18:00,29.0,71,1.3,978.6
Kinshasa,-4.32758,15.31357,2026-06-01T19:00,28.3,76,2.3,979.3
Kinshasa,-4.32758,15.31357,2026-06-01T20:00,27.9,81,2.3,979.6
Kinshasa,-4.32758,15.31357,2026-06-01T21:00,27.4,83,3.7,980.1
Kinshasa,-4.32758,15.31357,2026-06-01T22:00,26.7,82,4.7,980.2
Kinshasa,-4.32758,15.31357,2026-06-01T23:00,26.0,84,4.3,980.2
Kinshasa,-4.32758,15.31357,2026-06-02T00:00,25.5,85,4.0,980.0
Kinshasa,-4.32758,15.31357,2026-06-02T01:00,25.1,88,2.2,979.5
Kinshasa,-4.32758,15.31357,2026-06-02T02:00,24.8,90,0.4,979.2
Kinshasa,-4.32758,15.31357,2026-06-02T03:00,24.5,92,0.5,979.3
Kinshasa,-4.32758,15.31357,2026-06-02T04:00,24.1,95,0.8,979.6
Kinshasa,-4.32758,15.31357,2026-06-02T05:00,23.9,95,3.2,980.1
Kinshasa,-4.32758,15.31357,2026-06-02T06:00,24.1,92,3.8,980.9
Kinshasa,-4.32758,15.31357,2026-06-02T07:00,25.1,86,2.0,981.9
Kinshasa,-4.32758,15.31357,2026-06-02T08:00,26.5,79,2.3,982.1
Kinshasa,-4.32758,15.31357,2026-06-02T09:00,28.0,73,1.7,981.9
Kinshasa,-4.32758,15.31357,2026-06-02T10:00,29.6,67,1.2,981.5
Kinshasa,-4.32758,15.31357,2026-06-02T11:00,30.9,60,1.3,980.6
Kinshasa,-4.32758,15.31357,2026-06-02T12:00,32.0,53,2.0,979.5
Kinshasa,-4.32758,15.31357,2026-06-02T13:00,32.8,48,2.2,978.7
Kinshasa,-4.32758,15.31357,2026-06-02T14:00,33.2,45,1.7,978.1
